Time [s],Minimum [mm],Maximum [mm],Average [mm]
8.33E-05,0,8.57E-03,1.30E-03
1.67E-04,0,1.74E-02,2.69E-03
2.50E-04,0,2.11E-02,3.27E-03
3.33E-04,0,2.87E-02,4.41E-03
4.17E-04,0,3.37E-02,5.19E-03
5.00E-04,0,3.87E-02,5.95E-03
5.83E-04,0,4.49E-02,6.92E-03
6.67E-04,0,4.90E-02,7.54E-03
7.50E-04,0,5.46E-02,8.42E-03
8.33E-04,0,5.92E-02,9.15E-03
9.17E-04,0,6.39E-02,9.87E-03
1.00E-03,0,6.89E-02,1.07E-02
1.08E-03,0,8.02E-02,1.24E-02
1.17E-03,0,0.11394,2.06E-02
1.25E-03,0,0.17144,3.78E-02
1.33E-03,0,0.24999,6.46E-02
1.42E-03,0,0.35206,9.96E-02
1.50E-03,0,0.47556,0.14283
1.58E-03,0,0.62142,0.19441
1.67E-03,0,0.78989,0.25398
1.75E-03,0,0.9803,0.32181
1.83E-03,0,1.1933,0.39718
1.92E-03,0,1.4286,0.48011
2.00E-03,0,1.6867,0.57152
2.08E-03,0,1.9551,0.66727
2.17E-03,0,2.224,0.76274
2.25E-03,0,2.4923,0.85835
2.33E-03,0,2.7603,0.95384
2.42E-03,0,3.029,1.0492
2.50E-03,0,3.2968,1.1447
2.58E-03,0,3.5648,1.2396
2.67E-03,0,3.8324,1.3348
2.75E-03,0,4.0997,1.4303
2.83E-03,0,4.3667,1.5252
2.92E-03,0,4.6336,1.6202
3.00E-03,0,4.9002,1.7154
3.08E-03,0,5.1662,1.8106
3.17E-03,0,5.4321,1.9052
3.25E-03,0,5.6979,1.9994
3.33E-03,0,5.9638,2.0943
3.42E-03,0,6.2287,2.1889
3.50E-03,0,6.4928,2.2831
3.58E-03,0,6.7569,2.3775
3.67E-03,0,7.021,2.4714
3.75E-03,0,7.2844,2.5655
3.83E-03,0,7.5467,2.6594
3.92E-03,0,7.8092,2.7532
4.00E-03,0,8.0712,2.8472
4.08E-03,0,8.3328,2.9403
4.17E-03,0,8.5935,3.0339
4.25E-03,0,8.8538,3.1279
4.33E-03,0,9.114,3.2207
4.42E-03,0,9.373,3.314
4.50E-03,0,9.6321,3.4074
4.58E-03,0,9.8899,3.4996
4.67E-03,0,10.148,3.5925
4.75E-03,0,10.405,3.6859
4.83E-03,0,10.66,3.7783
4.92E-03,0,10.916,3.8696
5.00E-03,0,11.172,3.9615
5.08E-03,0,11.426,4.0545
5.17E-03,0,11.679,4.1465
5.25E-03,0,11.931,4.2376
5.33E-03,0,12.184,4.3291
5.42E-03,0,12.436,4.4205
5.50E-03,0,12.686,4.5119
5.58E-03,0,12.936,4.6028
5.67E-03,0,13.185,4.6935
5.75E-03,0,13.433,4.7843
5.83E-03,0,13.681,4.8748
5.92E-03,0,13.927,4.965
6.00E-03,0,14.173,5.0548
6.08E-03,0,14.418,5.1446
6.17E-03,0,14.662,5.234
6.25E-03,0,14.905,5.3228
6.33E-03,0,15.147,5.4119
6.42E-03,0,15.389,5.5009
6.50E-03,0,15.629,5.5898
6.58E-03,0,15.868,5.6783
6.67E-03,0,16.107,5.7663
6.75E-03,0,16.344,5.8543
6.83E-03,0,16.581,5.9424
6.92E-03,0,16.817,6.0303
7.00E-03,0,17.051,6.118
7.08E-03,0,17.283,6.2053
7.17E-03,0,17.516,6.2926
7.25E-03,0,17.748,6.3796
7.33E-03,0,17.978,6.4669
7.42E-03,0,18.207,6.554
7.50E-03,0,18.434,6.6403
7.58E-03,0,18.662,6.7272
7.67E-03,0,18.888,6.8137
7.75E-03,0,19.111,6.8996
7.83E-03,0,19.335,6.9858
7.92E-03,0,19.557,7.0716
8.00E-03,0,19.778,7.1567
8.08E-03,0,19.998,7.2421
8.17E-03,0,20.217,7.3276
8.25E-03,0,20.434,7.4125
8.33E-03,0,20.65,7.4971
8.42E-03,0,20.865,7.5815
8.50E-03,0,21.078,7.6664
8.58E-03,0,21.29,7.7512
8.67E-03,0,21.502,7.8347
8.75E-03,0,21.711,7.9184
8.83E-03,0,21.92,8.0023
8.92E-03,0,22.126,8.0859
9.00E-03,0,22.332,8.1694
9.08E-03,0,22.537,8.2526
9.17E-03,0,22.739,8.3357
9.25E-03,0,22.941,8.4188
9.33E-03,0,23.141,8.5009
9.42E-03,0,23.339,8.5831
9.50E-03,0,23.537,8.6654
9.58E-03,0,23.733,8.7471
9.67E-03,0,23.926,8.8288
9.75E-03,0,24.12,8.9104
9.83E-03,0,24.311,8.9915
9.92E-03,0,24.501,9.073
1.00E-02,0,24.69,9.154
1.01E-02,0,24.876,9.2343
1.02E-02,0,25.062,9.3151
1.03E-02,0,25.246,9.3954
1.03E-02,0,25.428,9.4757
1.04E-02,0,25.609,9.5556
1.05E-02,0,25.788,9.635
1.06E-02,0,25.966,9.7143
1.07E-02,0,26.142,9.7936
1.08E-02,0,26.316,9.8728
1.08E-02,0,26.488,9.9513
1.09E-02,0,26.66,10.03
1.10E-02,0,26.83,10.108
1.11E-02,0,26.997,10.186
1.12E-02,0,27.164,10.264
1.13E-02,0,27.328,10.342
1.13E-02,0,27.492,10.418
1.14E-02,0,27.653,10.495
1.15E-02,0,27.812,10.572
1.16E-02,0,27.971,10.649
1.17E-02,0,28.126,10.726
1.18E-02,0,28.281,10.801
1.18E-02,0,28.433,10.878
1.19E-02,0,28.584,10.954
1.20E-02,0,28.734,11.029
1.21E-02,0,28.881,11.104
1.22E-02,0,29.027,11.18
1.23E-02,0,29.17,11.254
1.23E-02,0,29.312,11.329
1.24E-02,0,29.453,11.404
1.25E-02,0,29.592,11.478
1.26E-02,0,29.728,11.552
1.27E-02,0,29.863,11.626
1.28E-02,0,29.996,11.699
1.28E-02,0,30.128,11.773
1.29E-02,0,30.257,11.846
1.30E-02,0,30.384,11.919
1.31E-02,0,30.51,11.991
1.32E-02,0,30.634,12.064
1.33E-02,0,30.756,12.136
1.33E-02,0,30.875,12.208
1.34E-02,0,30.994,12.279
1.35E-02,0,31.11,12.35
1.36E-02,0,31.224,12.422
1.37E-02,0,31.337,12.493
1.38E-02,0,31.447,12.563
1.38E-02,0,31.556,12.634
1.39E-02,0,31.662,12.704
1.40E-02,0,31.767,12.774
1.41E-02,0,31.87,12.844
1.42E-02,0,31.97,12.914
1.43E-02,0,32.07,12.983
1.43E-02,0,32.166,13.052
1.44E-02,0,32.261,13.121
1.45E-02,0,32.355,13.189
1.46E-02,0,32.445,13.257
1.47E-02,0,32.535,13.325
1.48E-02,0,32.621,13.393
1.48E-02,0,32.707,13.46
1.49E-02,0,32.79,13.528
1.50E-02,0,32.87,13.595
1.51E-02,0,32.949,13.662
1.52E-02,0,33.025,13.728
1.53E-02,0,33.101,13.795
1.53E-02,0,33.174,13.861
1.54E-02,0,33.245,13.927
1.55E-02,0,33.313,13.993
1.56E-02,0,33.38,14.058
1.57E-02,0,33.445,14.123
1.58E-02,0,33.508,14.188
1.58E-02,0,33.568,14.252
1.59E-02,0,33.627,14.317
1.60E-02,0,33.684,14.381
1.61E-02,0,33.738,14.445
1.62E-02,0,33.79,14.509
1.63E-02,0,33.841,14.572
1.63E-02,0,33.889,14.635
1.64E-02,0,33.935,14.697
1.65E-02,0,33.979,14.76
1.66E-02,0,34.022,14.822
1.67E-02,0,34.062,14.884
1.68E-02,0,34.099,14.945
1.68E-02,0,34.135,15.007
1.69E-02,0,34.169,15.068
1.70E-02,0,34.2,15.128
1.71E-02,0,34.23,15.189
1.72E-02,0,34.257,15.249
1.73E-02,0,34.283,15.309
1.73E-02,0,34.306,15.368
1.74E-02,0,34.327,15.428
1.75E-02,0,34.346,15.487
1.76E-02,0,34.363,15.545
1.77E-02,0,34.377,15.604
1.78E-02,0,34.39,15.662
1.78E-02,0,34.401,15.72
1.79E-02,0,34.41,15.777
1.80E-02,0,34.416,15.835
1.81E-02,0,34.42,15.892
1.82E-02,0,34.423,15.949
1.83E-02,0,34.422,16.005
1.83E-02,0,34.42,16.061
1.84E-02,0,34.416,16.117
1.85E-02,0,34.409,16.172
1.86E-02,0,34.401,16.228
1.87E-02,0,34.391,16.283
1.88E-02,0,34.378,16.337
1.88E-02,0,34.364,16.392
1.89E-02,0,34.347,16.446
1.90E-02,0,34.328,16.499
1.91E-02,0,34.307,16.553
1.92E-02,0,34.284,16.605
1.93E-02,0,34.259,16.658
1.93E-02,0,34.232,16.711
1.94E-02,0,34.202,16.763
1.95E-02,0,34.171,16.815
1.96E-02,0,34.137,16.866
1.97E-02,0,34.101,16.918
1.98E-02,0,34.064,16.969
1.98E-02,0,34.024,17.02
